nroFactura;fecha;noTarjeta;tipoTarjeta;noAprobacion;idEntidad;nroOrden
3987;29/08/16;5209324586212757;DEBITO;324;3;5573
4081;22/03/17;374893652625886;DEBITO;726;2;6502
4108;21/05/17;341195363861861;CREDITO;895;1;5567
4127;24/07/17;4026759366561952;CREDITO;589;4;6288
4165;24/11/17;375206383265279;DEBITO;828;1;6573
4190;15/02/18;4175008251610402;DEBITO;554;3;6585
3920;12/03/16;5174571329271489;DEBITO;511;3;6259
3937;28/04/16;4917688926578408;DEBITO;402;2;6539
3945;25/05/16;5414173485467637;CREDITO;854;3;5109
3990;1/09/16;5242192964134813;DEBITO;720;3;5551
4045;24/12/16;5120436149041170;CREDITO;503;4;5560
4056;22/01/17;377770951761959;DEBITO;435;4;5189
4110;31/05/17;371570341145673;CREDITO;223;1;5568
4114;14/06/17;4716732612354477;DEBITO;521;4;6531
4176;3/01/18;4175004184858168;CREDITO;876;1;6562
3989;2/09/16;342878527684449;CREDITO;134;4;6555
4006;7/10/16;373162735041128;DEBITO;926;4;6529
4099;8/05/17;374392642263668;DEBITO;303;1;6574
4118;22/06/17;5409914219385596;CREDITO;736;3;5535
4171;27/12/17;4917157041129562;CREDITO;907;1;5126
3918;10/03/16;5539056153480232;DEBITO;812;3;5112
3969;13/07/16;344986451504711;CREDITO;922;4;5509
4023;19/11/16;5439919156776677;CREDITO;192;3;5121
3992;6/09/16;5392212706498041;DEBITO;942;1;5147
4142;19/09/17;5271833759813640;DEBITO;289;4;5543
3927;3/04/16;4024007163036105;DEBITO;995;4;6218
3951;4/06/16;5435338076615390;DEBITO;660;2;5513
3963;30/06/16;4844068444276017;DEBITO;678;3;5518
4034;29/11/16;4913159951983776;CREDITO;269;2;5544
4140;25/08/17;5207743188081728;CREDITO;921;1;6244
3895;11/01/16;4913067947292147;CREDITO;245;1;6239
3897;19/01/16;4508611809757365;CREDITO;920;4;6298
3908;16/02/16;4024007194471305;CREDITO;185;1;6536
3930;9/04/16;4844268883974532;CREDITO;134;1;5156
3995;5/09/16;5319168603175027;CREDITO;187;3;6546
4139;25/08/17;5544848220709095;DEBITO;695;2;5546
4178;2/01/18;5312813619771213;DEBITO;642;4;6538
4186;25/01/18;4024007163036105;DEBITO;995;4;6296
3904;14/02/16;5435338076615390;DEBITO;660;2;5138
3907;13/02/16;4844068444276017;DEBITO;678;3;5583
3936;25/04/16;4913159951983776;CREDITO;269;2;5517
4011;20/10/16;5207743188081728;CREDITO;921;1;6202
4042;19/12/16;4913067947292147;CREDITO;245;1;6506
4049;2/01/17;4508611809757365;CREDITO;920;4;6597
4051;4/01/17;4024007194471305;CREDITO;185;1;5529
4073;28/02/17;4844268883974532;CREDITO;134;1;6599
4124;10/07/17;5319168603175027;CREDITO;187;3;6540
3982;3/08/16;5544848220709095;DEBITO;695;2;6280
4033;2/12/16;5312813619771213;DEBITO;642;4;6277
4035;4/12/16;4026793705313908;DEBITO;197;3;5537
4102;13/05/17;4844016830805311;DEBITO;430;3;6297
4128;27/07/17;4539896586303094;DEBITO;882;1;5585
4143;16/09/17;4485687411491129;CREDITO;723;4;6207
4167;29/11/17;4508490583338282;CREDITO;919;1;6255
3957;29/06/16;4917121550465460;DEBITO;293;1;5131
3998;15/09/16;4485635741180797;DEBITO;868;3;6274
4003;29/09/16;5562745307179753;CREDITO;727;3;5538
4084;31/03/17;5314814480602162;DEBITO;605;2;6543
4079;22/03/17;5252480269881643;DEBITO;512;4;6292
4153;17/10/17;4024007114376139;DEBITO;279;2;5561
3902;13/02/16;4716652482366692;DEBITO;666;2;6553
4187;2/02/18;4175002463093309;DEBITO;316;3;5113
3931;8/04/16;270679299369;DEBITO;505;4;6557
3939;27/04/16;855514290468;DEBITO;738;2;6516
3943;11/05/16;850025231883;CREDITO;901;3;5175
3955;24/06/16;002417628986;DEBITO;718;1;6240
3970;7/07/16;039122678766;CREDITO;891;1;5554
3979;23/07/16;958168691143;CREDITO;284;2;5548
3993;30/08/16;746158541372;DEBITO;783;4;6518
4022;13/11/16;363470285670;CREDITO;920;1;6503
4026;23/11/16;393222347800;CREDITO;844;1;6519
4075;27/02/17;164648608988;CREDITO;901;2;6569
4098;2/05/17;461911496115;CREDITO;500;4;6287
4122;3/07/17;100074834466;CREDITO;763;1;6505
4136;8/08/17;586375085331;CREDITO;423;3;5172
4147;26/09/17;259892897166;DEBITO;306;2;6530
4149;29/09/17;007959334083;DEBITO;349;1;5155
4177;31/12/17;931229028806;DEBITO;959;1;6524
3899;2/02/16;364575204685;DEBITO;886;2;5108
3916;29/02/16;521014208009;DEBITO;576;4;6577
3948;27/05/16;568301047140;CREDITO;773;2;5191
3954;21/06/16;557659224169;DEBITO;181;2;5506
3971;11/07/16;306437101339;DEBITO;207;3;5599
3984;3/08/16;961687367529;CREDITO;867;4;5169
3999;14/09/16;948704335860;CREDITO;251;1;6513
4013;21/10/16;452969735559;CREDITO;211;1;5591
4017;26/10/16;136892737433;CREDITO;194;4;5130
4019;7/11/16;848017184827;CREDITO;218;4;5133
4020;11/11/16;718632116349;CREDITO;642;3;5145
4025;18/11/16;002436130352;DEBITO;618;3;5190
4076;2/03/17;631029572852;CREDITO;680;4;5162
4112;9/06/17;604705957000;DEBITO;666;2;5504
4156;27/10/17;952496504401;CREDITO;825;4;5105
4164;15/11/17;000360675053;CREDITO;702;3;5199
3892;9/01/16;270679299369;DEBITO;505;4;6284
3898;29/01/16;855514290468;DEBITO;738;2;6521
3900;31/01/16;850025231883;CREDITO;901;3;6289
3906;15/02/16;002417628986;DEBITO;718;1;5542
3912;20/02/16;039122678766;CREDITO;891;1;5141
3915;1/03/16;958168691143;CREDITO;284;2;5581
3922;12/03/16;746158541372;DEBITO;783;4;6590
3926;1/04/16;363470285670;CREDITO;920;1;5516
3929;9/04/16;393222347800;CREDITO;844;1;6552
3958;27/06/16;164648608988;CREDITO;901;2;6263
3983;2/08/16;461911496115;CREDITO;500;4;5164
3994;3/09/16;100074834466;CREDITO;763;1;5158
4004;27/09/16;586375085331;CREDITO;423;3;5566
4016;27/10/16;259892897166;DEBITO;306;2;5512
4021;13/11/16;007959334083;DEBITO;349;1;6203
4031;30/11/16;931229028806;DEBITO;959;1;6234
4050;7/01/17;364575204685;DEBITO;886;2;5178
4062;27/01/17;521014208009;DEBITO;576;4;5124
4082;25/03/17;568301047140;CREDITO;773;2;6245
4089;6/04/17;557659224169;DEBITO;181;2;5584
4104;14/05/17;306437101339;DEBITO;207;3;6279
4123;6/07/17;961687367529;CREDITO;867;4;6508
4130;27/07/17;948704335860;CREDITO;251;1;6589
4151;29/09/17;452969735559;CREDITO;211;1;5557
4157;2/11/17;136892737433;CREDITO;194;4;6252
4159;5/11/17;848017184827;CREDITO;218;4;5562
4162;14/11/17;718632116349;CREDITO;642;3;6228
4163;15/11/17;002436130352;DEBITO;618;3;5183
4191;20/02/18;631029572852;CREDITO;680;4;5119
3966;6/07/16;604705957000;DEBITO;666;2;6593
4007;6/10/16;952496504401;CREDITO;825;4;5114
4024;17/11/16;000360675053;CREDITO;702;3;6210
4047;26/12/16;007183854214;CREDITO;735;1;6566
4068;19/02/17;857413710584;CREDITO;697;4;6564
4116;19/06/17;007101063278;CREDITO;180;1;5149
4126;22/07/17;002391058051;CREDITO;669;4;5515
4169;14/12/17;988725118534;DEBITO;831;4;5107
4183;16/01/18;984638802640;DEBITO;590;4;6501
4041;17/12/16;132378124787;CREDITO;191;3;6567
4067;18/02/17;092353275360;DEBITO;231;1;6220
4074;3/03/17;339573980027;CREDITO;720;3;5184
4184;25/01/18;550248719366;DEBITO;419;4;5103
4185;26/01/18;165546814347;DEBITO;731;3;6262
3935;18/04/16;654891917641;CREDITO;251;4;5100
4060;29/01/17;409853852508;DEBITO;781;1;5148
4087;3/04/17;086834818038;CREDITO;635;2;6267
4093;25/04/17;183657559967;CREDITO;899;3;6241
4132;3/08/17;030513545682;CREDITO;253;4;5539
4175;3/01/18;006124820497;CREDITO;977;2;5558
4029;2/12/16;361459273483;CREDITO;128;2;5547
3996;12/09/16;659985084067;DEBITO;747;2;5595
4043;25/12/16;039456220151;CREDITO;873;1;5576
3933;19/04/16;813289666129;DEBITO;643;1;6572
4054;18/01/17;110950119171;DEBITO;950;3;6200
4106;22/05/17;007141022805;DEBITO;545;1;6584
4059;23/01/17;4929024276848;DEBITO;409;1;5180
4117;17/06/17;4929626387241;DEBITO;387;3;5580
4145;21/09/17;4199729298931;DEBITO;833;4;6525
3917;4/03/16;4024007135847;CREDITO;906;1;6596
3962;1/07/16;4024007123785;DEBITO;389;1;5123
3964;2/07/16;4479166361438;DEBITO;347;1;5586
4015;25/10/16;4929924080407;CREDITO;750;3;6583
3947;25/05/16;4929024276848;DEBITO;409;1;6236
3991;1/09/16;4929626387241;DEBITO;387;3;5146
4012;22/10/16;4199729298931;DEBITO;833;4;6514
4065;3/02/17;4024007135847;CREDITO;906;1;6232
4101;8/05/17;4024007123785;DEBITO;389;1;6299
4103;13/05/17;4479166361438;DEBITO;347;1;5179
4155;23/10/17;4929924080407;CREDITO;750;3;6247
4083;30/03/17;4024007133107;CREDITO;120;1;6201
4030;2/12/16;4916877589153;CREDITO;425;1;6294
4091;16/04/17;4024007136035;CREDITO;455;2;5511
4096;30/04/17;4716105075631;CREDITO;906;4;6257
4119;24/06/17;4539723318674;DEBITO;254;1;5578
4148;2/10/17;4532900818400;DEBITO;987;4;5592
4173;1/01/18;4485200715877;CREDITO;717;3;6559
3919;11/03/16;4556192765250;CREDITO;668;3;6507
3942;8/05/16;4732569239084;CREDITO;629;4;5127
4061;30/01/17;4485795480366;DEBITO;919;3;5188
4125;22/07/17;4024007132141;DEBITO;617;1;6242
4121;7/07/17;4662872666220;CREDITO;562;1;6535
4052;14/01/17;4916931340007;DEBITO;408;2;6511
4192;18/02/18;348940116684976;CREDITO;388;3;5167
4009;8/10/16;377144986642909;DEBITO;821;3;5104
4032;29/11/16;370386857395003;DEBITO;710;1;6237
4092;19/04/17;378074221758484;CREDITO;835;3;5597
4182;12/01/18;347765526212741;DEBITO;776;3;6594
3928;5/04/16;371478663670213;CREDITO;432;1;6269
4072;23/02/17;340885913937648;DEBITO;564;3;5593
4090;11/04/17;348175335691581;CREDITO;728;3;6231
4097;3/05/17;373378319909908;DEBITO;595;2;6575
4131;29/07/17;379748527051681;DEBITO;196;2;5563
4179;2/01/18;348940116684976;CREDITO;388;3;5139
3924;14/03/16;377144986642909;DEBITO;821;3;5545
3934;12/04/16;370386857395003;DEBITO;710;1;6570
3967;4/07/16;378074221758484;CREDITO;835;3;5150
4038;9/12/16;347765526212741;DEBITO;776;3;5196
4066;4/02/17;371478663670213;CREDITO;432;1;5525
4189;10/02/18;340885913937648;DEBITO;564;3;6246
3938;29/04/16;348175335691581;CREDITO;728;3;6251
3949;30/05/16;373378319909908;DEBITO;595;2;5527
3978;25/07/16;379748527051681;DEBITO;196;2;5541
4036;5/12/16;377125052906302;CREDITO;627;4;5589
4105;16/05/17;370036885912432;DEBITO;758;2;5510
3896;16/01/16;341471558770559;CREDITO;156;4;6563
3903;11/02/16;349316636712630;DEBITO;463;2;6522
3972;16/07/16;374640547579301;DEBITO;711;4;5565
4044;22/12/16;343564813968303;CREDITO;807;1;6565
4137;13/08/17;372230892923924;CREDITO;771;4;5530
4040;17/12/16;373882202162962;DEBITO;537;1;6249
4134;8/08/17;372616359352302;DEBITO;643;4;5142
4048;30/12/16;342122011211645;CREDITO;180;4;6545
3901;13/02/16;371118511991979;DEBITO;809;2;6561
4064;7/02/17;346903055986895;DEBITO;566;4;5569
4120;7/07/17;379541146687096;DEBITO;441;2;6527
3981;26/07/16;4175005500606600;CREDITO;419;1;5166
4001;16/09/16;4508411053217970;DEBITO;515;4;6221
4168;10/12/17;4485678633208630;DEBITO;562;1;5111
3914;29/02/16;4716189396144440;DEBITO;486;1;5151
3946;23/05/16;5263031759016970;DEBITO;144;4;6265
3973;16/07/16;4260700063956060;CREDITO;463;3;5596
4005;28/09/16;4916986607128000;DEBITO;400;4;5193
4085;29/03/17;4485340535546460;CREDITO;510;3;6586
4107;18/05/17;4532720208493270;CREDITO;955;1;6295
4144;22/09/17;5411829552689090;DEBITO;263;1;6526
4154;17/10/17;4497203778432020;DEBITO;338;1;6571
4174;30/12/17;4539361145679050;CREDITO;368;4;6278
3921;12/03/16;4175005500606600;CREDITO;419;1;5154
3923;9/03/16;4508411053217970;DEBITO;515;4;5514
4027;26/11/16;4485678633208630;DEBITO;562;1;6504
4057;22/01/17;4716189396144440;DEBITO;486;1;6591
4080;19/03/17;5263031759016970;DEBITO;144;4;5500
4109;27/05/17;4260700063956060;CREDITO;463;3;6580
4138;16/08/17;4916986607128000;DEBITO;400;4;6541
3932;12/04/16;4485340535546460;CREDITO;510;3;6548
3961;2/07/16;4532720208493270;CREDITO;955;1;5160
3985;6/08/16;5411829552689090;DEBITO;263;1;6290
4000;19/09/16;4497203778432020;DEBITO;338;1;5152
4028;28/11/16;4539361145679050;CREDITO;368;4;6216
4161;11/11/17;4024007138569980;CREDITO;175;3;5153
4172;27/12/17;4026919900236590;DEBITO;956;3;6282
3905;17/02/16;4913452560247160;DEBITO;888;3;5571
3925;3/04/16;4556290652746680;CREDITO;845;2;5161
3941;3/05/16;5180268397713480;DEBITO;351;4;6291
4095;26/04/17;4485038916352440;CREDITO;245;4;6523
4160;12/11/17;4844532333745080;DEBITO;789;2;6253
3956;30/06/16;4508552350488600;CREDITO;566;1;5137
3974;24/07/16;5370759189520290;CREDITO;215;1;5106
4010;24/10/16;4844587788781940;DEBITO;183;1;6270
4070;26/02/17;5534380789693400;DEBITO;643;3;6587
