idCliente;nombre;direccion;codCiudad;email;nombreDeUsuario;contrasena
252;Felix Guerra;4383 Vulputate, Ave;7601;egestas@enimsit.org;Rose;erat
325;Leonard Manning;Ap #7333 Aliquam Rd.;801;Nunc.mauris@velco.u;Elton;convallis
324;Nyssa Petersen;P.O. Box 899;501;senectus.et@daps.co;Anika;posuere
321;Brittany Levine;600-1525 Ac Street;7601;dolor.Fusce@Alic.or;Arthur;Nunc
335;Jordan Lambert;Ap #3782 Ante Avenue;801;ut.eros.non@Inlco.u;Valentine;Phasellus
307;Forrest Jordan;870-1955 Ante Rd.;1101;vitae.risus@molco.u;Giacomo;adipiscing
345;Denton Gomez;Ap #2228 Et St.;501;amet.dapibus@di.net;Chastity;in
305;Steel Murphy;Ap #108 Tincidunt Av;1101;lacinia.orci@eu.com;Derek;consequat
288;Harper Cherry;629-3060 Nunc Rd.;801;tempus.lorem@ac.edu;Abbot;lectus
341;Orlando Baker;P.O. Box 472;801;Aliquam.erat@mam.ca;Kitra;enim,
316;Kristen Higgins;P.O. Box 563;1101;sollicitudin@Nunc.ne;Susan;enim.
309;Cora Vaughn;Ap #3168 Curabitur S;801;consectetuer@ipsm.or;Naida;dictum
301;Camden Horne;P.O. Box 692;7601;Sed.molestie@cuba.co;Armand;senectus
287;Alyssa Alston;4461 Vitae Av.;7601;pellentesque@Dont.ne;Jasper;Morbi
269;Bianca Vasquez;6754 Eu Avenue;1101;egestas.urna@tinco.u;Grady;tempus
331;Zenia Velazquez;P.O. Box 757;801;at.fringilla@nism.or;Keith;lectus
292;Caesar Fulton;4073 Nec Avenue;501;purus.Nullam@liga.ne;Vanna;facilisi.
289;Jaquelyn Cooke;Ap #7590 Pede. Rd.;7601;tincidunt.dui@vo.org;Lionel;nisi
293;Isadora Colon;P.O. Box 289;801;pulvinar.arcu@mao.uk;Dalton;tincidunt,
342;Meghan Ramsey;P.O. Box 373;1101;viverra.Donec@Ino.uk;Ashton;sodales
315;Dylan Flowers;7926 Cras Ave;7601;vitae.sodales@tr.net;Caldwell;sem
250;Todd Barlow;4389 Nisl Rd.;501;ultricies@eg.edu;Hasad;nunc
319;Carter Walls;931 Vel, Avenue;501;erat@Na.org;Eve;non
256;Nicole Waller;Ap #7950 Id Ave;1101;mattis@in.net;Kim;id
265;Mary Cooper;P.O. Box 883;501;purus@se.org;Debra;mollis
262;Dominic Gibson;P.O. Box 422;1101;purus@te.edu;Jeremy;a
347;Holmes Zamora;813-6630 Proin Rd.;7601;facilisis@te.com;Melyssa;at
314;Keith Pitts;3019 Consectuer Road;7601;euismod@Fuo.uk;Wylie;libero
306;Arthur Cox;P.O. Box 232;7601;adipiscing@he.edu;Lunea;interdum.
